order_id,customer_id,order_date,status
1203,148,2025-12-22,Delivered
1204,25,2024-12-23,shipped
1205,39,2024-12-19,DELIVERED
1206,107,2025-03-28,Shipped
1207,74,2024-10-04,shipped
1208,125,2024-02-21,Delivered
1209,53,,processing
1210,41,2024-06-10,Returned
1211,19,2025-05-03,Delivered
1212,147,2025-10-23,Delivered
1213,66,2024-08-25,Delivered
1214,91,2024-02-07,Returned
1215,149,2024-02-08,delivered
1216,128,2024-10-18,Processing
1217,99,2024-05-17,processing
1218,91,,Shipped
1219,75,2024-10-29,delivered
1220,32,2025-06-11,cancelled
1221,72,,Cancelled
1222,101,2024-08-29,Processing
1223,34,2025-08-19,DELIVERED
1224,61,2025-04-21,shipped
1225,8,2025-12-07,Delivered
1226,96,2025-09-21,DELIVERED
1227,9,2025-01-17,Returned
1228,74,2025-11-11,Delivered
1229,25,2024-03-24,Processing
1230,119,2024-04-24,Delivered
1231,104,2025-08-09,delivered
1232,106,2025-08-20,processing
1233,75,2024-05-15,Returned
1234,54,2025-11-19,Shipped
1235,2,2024-08-11,DELIVERED
1236,31,2024-03-11,PROCESSING
1237,134,2025-10-23,Returned
1238,31,2025-01-21,returned
1239,69,2025-10-31,cancelled
1240,66,2024-08-16,Delivered
1241,107,2025-11-20,Returned
1242,127,2025-04-16,CANCELLED
1243,58,2024-02-02,Returned
1244,9,2024-09-03,delivered
1245,25,2024-09-07,Delivered
1246,112,2024-02-27,Delivered
1247,91,2024-11-22,cancelled
1248,63,2024-08-14,Returned
1249,71,2024-06-28,Returned
1250,54,2025-10-20,Returned
1251,141,2025-02-22,DELIVERED
1252,124,2024-08-18,Shipped
1253,107,2024-02-29,Returned
1254,69,2025-02-01,DELIVERED
1255,40,2025-01-14,Delivered
1256,27,2024-10-01,Returned
1257,38,2024-07-11,Delivered
1258,40,2024-11-06,DELIVERED
1259,25,2024-09-05,Delivered
1260,105,2024-10-16,Returned
1261,125,2024-09-24,Cancelled
1262,51,2025-04-25,Cancelled
1263,53,,Delivered
1264,4,2025-08-21,RETURNED
1265,128,2024-09-08,Processing
1266,75,2024-09-20,Processing
1267,36,2025-04-16,Delivered
1268,72,2025-07-13,processing
1269,31,2025-06-20,Delivered
1270,25,2024-01-07,returned
1271,78,2024-01-10,Delivered
1272,101,,Processing
1273,69,2025-07-18,returned
1274,147,2024-01-18,Returned
1275,55,2024-04-08,delivered
1276,59,2024-09-30,returned
1277,125,2025-12-14,delivered
1278,17,2024-04-05,Returned
1279,29,2025-10-14,Delivered
1280,80,2025-10-22,Cancelled
1281,49,2025-06-24,delivered
1282,40,2025-05-01,SHIPPED
1283,32,,delivered
1284,107,2025-08-24,Delivered
1285,76,2024-03-19,SHIPPED
1286,1,2025-11-24,Cancelled
1287,41,2025-05-27,CANCELLED
1288,91,2025-09-11,Returned
1289,129,2024-10-06,Processing
1290,99,2025-03-18,Delivered
1291,44,2025-09-25,Shipped
1292,43,2024-10-01,Delivered
1293,79,2025-02-02,Cancelled
1294,125,2025-03-31,Cancelled
1295,45,2024-07-10,Returned
1296,134,2024-04-15,delivered
1297,58,2025-01-29,DELIVERED
1298,58,2024-09-05,Delivered
1299,138,2024-11-04,Shipped
1300,80,2024-10-09,returned
1301,127,2025-10-02,Processing
1302,55,2024-05-18,SHIPPED
1303,124,2024-12-03,Processing
1304,50,2024-05-19,Shipped
1305,103,2025-05-05,CANCELLED
1306,129,2025-05-17,Delivered
1307,93,2025-01-08,Delivered
1308,8,2024-07-03,Delivered
1309,108,2025-03-24,Shipped
1310,148,2025-11-20,PROCESSING
1311,79,2025-03-09,returned
1312,85,2025-07-01,Returned
1313,50,2025-12-19,DELIVERED
1314,86,2025-10-24,Delivered
1315,129,2024-12-05,RETURNED
1316,85,2025-07-25,Delivered
1317,59,,Delivered
1318,54,2024-10-29,Returned
1319,73,2024-12-22,Shipped
1320,63,2025-05-09,Cancelled
1321,128,2024-11-22,Delivered
1322,59,2024-01-24,Cancelled
1323,85,2024-09-06,Delivered
1324,32,2025-04-18,Delivered
1325,96,2025-10-17,Returned
1326,102,2025-04-05,Returned
1327,106,2024-10-12,Delivered
1328,34,2024-07-10,Cancelled
1329,135,2025-11-17,Processing
1330,25,2025-02-01,Returned
1331,91,2025-09-24,Delivered
1332,69,2025-09-21,Delivered
1333,123,2024-11-08,delivered
1334,34,2025-09-02,Delivered
1335,18,2025-10-12,Delivered
1336,72,2024-07-10,Cancelled
1337,19,2024-01-10,processing
1338,143,2025-10-30,Processing
1339,30,2025-05-15,DELIVERED
1340,150,2024-02-03,SHIPPED
1341,31,2025-05-22,Delivered
1342,32,2025-01-10,Delivered
1343,112,2025-03-11,Delivered
1344,127,2024-10-31,Delivered
1345,45,2025-03-25,Delivered
1346,59,2025-12-06,Cancelled
1347,8,2024-06-18,Delivered
1348,31,2025-08-06,Cancelled
1349,87,2024-11-27,SHIPPED
1350,49,2024-05-18,Returned
1351,65,2025-12-19,delivered
1352,93,2025-05-16,Delivered
1353,69,2025-01-19,processing
1354,63,2025-06-11,Shipped
1355,75,2025-05-14,Cancelled
1356,48,2025-04-14,Cancelled
1357,76,2024-08-11,Returned
1358,24,2024-10-17,Cancelled
1359,96,2024-12-17,delivered
1360,9,,Delivered
1361,8,2024-07-26,Delivered
1362,141,2024-04-05,CANCELLED
1363,85,2024-02-23,Returned
1364,120,,Delivered
1365,50,2024-03-20,Delivered
1366,30,2024-01-10,Delivered
1367,113,2025-12-11,Delivered
1368,46,2024-04-14,Delivered
1369,71,2025-01-26,Delivered
1370,36,2025-06-27,Delivered
1371,61,2024-08-06,Delivered
1372,58,2024-08-10,Delivered
1373,64,2025-08-26,Returned
1374,72,2024-09-10,Shipped
1375,127,2025-09-06,Shipped
1376,34,2024-07-29,Delivered
1377,28,2024-09-02,Processing
1378,63,2025-08-31,Delivered
1379,50,2024-11-20,Delivered
1380,74,2025-01-09,Delivered
1381,38,2024-01-18,DELIVERED
1382,76,2025-06-02,Shipped
1383,69,2025-03-09,returned
1384,143,2024-03-26,shipped
1385,80,2025-07-03,Cancelled
1386,148,2024-03-08,Shipped
1387,123,2024-02-29,DELIVERED
1388,36,2024-02-26,Shipped
1389,90,2024-05-02,Delivered
1390,84,2025-05-23,Cancelled
1391,133,2024-06-19,cancelled
1392,61,2024-01-31,Cancelled
1393,33,2024-09-26,Delivered
1394,29,2025-05-26,Delivered
1395,53,2025-08-10,delivered
1396,7,2024-09-07,Delivered
1397,77,2024-07-02,Delivered
1398,34,2024-08-17,cancelled
1399,40,2025-08-08,cancelled
1400,115,2025-06-12,Delivered
1401,140,2024-10-16,Shipped
1402,5,2025-01-12,delivered
1403,125,2025-04-20,Cancelled
1404,101,,delivered
1405,125,,Delivered
1406,99,2024-11-10,delivered
1407,31,2024-05-25,shipped
1408,63,2025-02-26,Cancelled
1409,107,2024-04-07,Delivered
1410,19,2025-08-04,Delivered
1411,122,2024-10-25,Shipped
1412,93,2025-12-18,Cancelled
1413,39,2024-07-26,Delivered
1414,80,2024-04-18,Delivered
1415,62,2025-07-02,Cancelled
1416,125,2025-04-19,Shipped
1417,74,2025-12-22,delivered
1418,128,2024-12-30,Returned
1419,134,2024-06-27,Delivered
1420,105,2025-07-17,DELIVERED
1421,63,2024-01-13,Delivered
1422,67,2024-07-21,Returned
1423,44,2025-08-19,Shipped
1424,34,2024-07-21,Processing
1425,31,2024-05-05,Delivered
1426,66,2025-03-19,Returned
1427,32,2024-06-25,CANCELLED
1428,77,2024-02-05,Delivered
1429,41,2025-05-05,DELIVERED
1430,148,2025-06-22,Delivered
1431,10,2025-01-26,Cancelled
1432,54,2025-08-02,Cancelled
1433,4,2025-09-03,delivered
1434,59,2025-06-26,Cancelled
1435,82,2024-04-12,Delivered
1436,29,2024-08-12,Returned
1437,89,2024-06-29,Delivered
1438,19,2025-08-28,Delivered
1439,40,2025-07-31,Delivered
1440,99,2025-07-09,SHIPPED
1441,96,,Delivered
1442,124,2024-07-25,Delivered
1443,24,2024-03-01,delivered
1444,57,2025-06-22,Cancelled
1445,39,2025-08-23,Delivered
1446,81,2025-03-23,Processing
1447,30,2025-12-11,cancelled
1448,125,2025-12-06,shipped
1449,66,2025-02-04,DELIVERED
1450,102,2024-08-14,Delivered
1451,40,2024-08-31,Cancelled
1452,46,2025-12-26,Cancelled
1453,128,2025-12-10,Delivered
1454,1,2024-02-19,Returned
1455,86,2025-02-27,Processing
1456,99,2024-04-13,Processing
1457,116,2024-06-15,processing
1458,4,2024-09-24,DELIVERED
1459,39,2025-07-14,Delivered
1460,127,2025-12-22,Delivered
1461,9,2025-03-20,DELIVERED
1462,148,2025-12-14,Shipped
1463,50,2024-02-20,Returned
1464,79,2024-02-25,CANCELLED
1465,37,2025-09-06,PROCESSING
1466,150,2024-03-24,Processing
1467,76,2025-04-27,Processing
1468,134,2025-07-11,returned
1469,119,2024-02-15,Shipped
1470,138,2025-07-31,delivered
1471,54,2025-07-08,Returned
1472,4,2024-03-03,Returned
1473,34,2025-12-04,Processing
1474,141,2024-03-21,Returned
1475,65,2025-08-07,delivered
1476,86,2024-08-04,DELIVERED
1477,80,2024-07-25,Delivered
1478,35,2024-03-30,Returned
1479,142,,Processing
1480,1,2025-08-24,RETURNED
1481,140,2024-04-12,Delivered
1482,147,2025-07-02,Cancelled
1483,96,2025-08-08,PROCESSING
1484,36,2025-11-28,returned
1485,122,2024-02-20,Processing
1486,11,2024-12-11,Shipped
1487,51,2024-08-21,Delivered
1488,105,2024-10-02,Returned
1489,58,2024-08-04,Returned
1490,36,2024-02-27,delivered
1491,134,2025-08-05,delivered
1492,30,2024-09-12,Delivered
1493,102,2024-10-07,Cancelled
1494,85,2024-05-06,DELIVERED
1495,71,2025-08-23,Cancelled
1496,133,2025-12-06,DELIVERED
1497,75,2024-08-07,Delivered
1498,138,2025-10-29,Returned
1499,5,2025-04-30,Delivered
1500,5,2024-08-17,Shipped
1501,148,2024-10-08,Returned
1502,35,2024-09-15,Delivered
1503,1,2025-02-10,delivered
1504,36,2025-07-28,SHIPPED
1505,142,2025-10-17,Cancelled
1506,69,2024-07-11,Delivered
1507,30,2025-09-06,Returned
1508,14,2025-11-02,Processing
1509,34,2025-02-18,Returned
1510,75,2024-07-13,Cancelled
1511,141,2025-10-15,Processing
1512,1,2024-11-03,Delivered
1513,93,2024-10-27,Delivered
1514,58,2024-07-06,Cancelled
1515,115,2024-11-10,Returned
1516,134,2025-08-22,Shipped
1517,28,2025-10-11,Delivered
1518,62,2025-11-28,Returned
1519,78,2024-05-20,Delivered
1520,91,2024-05-26,Cancelled
1011,148,2024-08-20,Delivered
1201,148,2025-12-10,Shipped
